"","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"750","unknown",15,"good","car",3029,"< 100 DM","4 - 7 years",2,2,33,"none","own",1,"skilled",1,"no","no"
"346","unknown",15,"critical","furniture/appliances",1459,"< 100 DM","1 - 4 years",4,2,43,"none","own",1,"unskilled",1,"no","no"
"520","unknown",6,"critical","furniture/appliances",700,"unknown","> 7 years",4,4,36,"none","other",2,"skilled",1,"no","no"
"91","unknown",12,"critical","furniture/appliances",618,"< 100 DM","> 7 years",4,4,56,"none","own",1,"skilled",1,"no","no"
"165","unknown",36,"good","car",909,"500 - 1000 DM","> 7 years",4,4,36,"none","own",1,"skilled",1,"no","no"
"871","unknown",36,"poor","furniture/appliances",7678,"500 - 1000 DM","4 - 7 years",2,4,40,"none","own",2,"skilled",1,"yes","no"
"409","unknown",24,"good","furniture/appliances",3235,"500 - 1000 DM","> 7 years",3,2,26,"none","own",1,"management",1,"yes","no"
"722","1 - 200 DM",6,"very good","education",433,"> 1000 DM","< 1 year",4,2,24,"bank","rent",1,"skilled",2,"no","yes"
"794","> 200 DM",24,"good","furniture/appliances",2892,"< 100 DM","> 7 years",3,4,51,"none","other",1,"skilled",1,"no","no"
"920","< 0 DM",24,"good","furniture/appliances",3345,"< 100 DM","> 7 years",4,2,39,"none","rent",1,"management",1,"yes","yes"
"660","1 - 200 DM",18,"critical","furniture/appliances",6361,"< 100 DM","> 7 years",2,1,41,"none","own",1,"skilled",1,"yes","no"
"481","1 - 200 DM",12,"critical","furniture/appliances",3573,"< 100 DM","1 - 4 years",1,1,23,"none","own",1,"unskilled",1,"no","no"
"265","unknown",10,"critical","car",1231,"< 100 DM","> 7 years",3,4,32,"none","own",2,"unskilled",2,"no","no"
"220","unknown",10,"good","car",1364,"< 100 DM","1 - 4 years",2,4,64,"none","own",1,"skilled",1,"yes","no"
"14","< 0 DM",24,"critical","car",1199,"< 100 DM","> 7 years",4,4,60,"none","own",2,"unskilled",1,"no","yes"
"698","unknown",12,"critical","car",926,"< 100 DM","unemployed",1,2,38,"none","own",1,"unemployed",1,"no","no"
"239","unknown",12,"critical","furniture/appliances",1291,"< 100 DM","1 - 4 years",4,2,35,"none","own",2,"skilled",1,"no","no"
"154","1 - 200 DM",24,"critical","car",7758,"> 1000 DM","> 7 years",2,4,29,"none","rent",1,"skilled",1,"no","no"
"17","unknown",24,"critical","furniture/appliances",2424,"unknown","> 7 years",4,4,53,"none","own",2,"skilled",1,"no","no"
"464","1 - 200 DM",12,"good","education",754,"unknown","> 7 years",4,4,38,"none","own",2,"skilled",1,"no","no"
"98","1 - 200 DM",18,"good","business",2622,"100 - 500 DM","1 - 4 years",4,4,34,"none","own",1,"skilled",1,"no","no"
"763","< 0 DM",12,"good","furniture/appliances",2214,"< 100 DM","1 - 4 years",4,3,24,"none","own",1,"unskilled",1,"no","no"
"337","1 - 200 DM",13,"good","furniture/appliances",2101,"< 100 DM","< 1 year",2,4,23,"none","own",1,"unskilled",1,"no","no"
"889","unknown",36,"critical","car",6614,"< 100 DM","> 7 years",4,4,34,"none","own",2,"management",1,"yes","no"
"973","< 0 DM",24,"very good","car",1193,"< 100 DM","unemployed",1,4,29,"none","rent",2,"unemployed",1,"no","yes"
"449","> 200 DM",12,"good","furniture/appliances",1424,"unknown","> 7 years",3,4,55,"none","own",1,"management",1,"yes","no"
"182","1 - 200 DM",36,"poor","business",4455,"< 100 DM","1 - 4 years",2,2,30,"store","own",2,"management",1,"yes","yes"
"552","unknown",6,"very good","furniture/appliances",1750,"500 - 1000 DM","> 7 years",2,4,45,"bank","own",1,"unskilled",2,"no","no"
"434","unknown",24,"critical","renovations",2058,"< 100 DM","1 - 4 years",4,2,33,"none","own",2,"skilled",1,"yes","no"
"441","unknown",12,"good","car",1884,"< 100 DM","> 7 years",4,4,39,"none","own",1,"management",1,"yes","no"
"377","unknown",18,"poor","furniture/appliances",2320,"< 100 DM","unemployed",2,3,34,"none","own",2,"skilled",1,"no","no"
"476","< 0 DM",18,"perfect","furniture/appliances",3114,"< 100 DM","< 1 year",1,4,26,"none","rent",1,"skilled",1,"no","yes"
"30","< 0 DM",60,"poor","business",6836,"< 100 DM","> 7 years",3,4,63,"none","own",2,"skilled",1,"yes","yes"
"108","1 - 200 DM",12,"good","car",6078,"< 100 DM","4 - 7 years",2,2,32,"none","own",1,"skilled",1,"no","no"
"440","> 200 DM",12,"very good","business",609,"< 100 DM","< 1 year",4,1,26,"none","own",1,"unemployed",1,"no","yes"
"372","unknown",18,"critical","furniture/appliances",6070,"< 100 DM","> 7 years",3,4,33,"none","own",2,"skilled",1,"yes","no"
"781","1 - 200 DM",39,"critical","furniture/appliances",4933,"< 100 DM","4 - 7 years",2,2,25,"none","own",2,"skilled",1,"no","yes"
"712","< 0 DM",6,"very good","education",1198,"< 100 DM","> 7 years",4,4,35,"none","other",1,"skilled",1,"no","yes"
"536","> 200 DM",21,"critical","education",2319,"< 100 DM","< 1 year",2,1,33,"none","rent",1,"skilled",1,"no","yes"
"418","< 0 DM",18,"poor","education",8471,"unknown","1 - 4 years",1,2,23,"none","rent",2,"skilled",1,"yes","no"
"79","unknown",54,"perfect","car",9436,"unknown","1 - 4 years",2,2,39,"none","own",1,"unskilled",2,"no","no"
"205","unknown",12,"critical","car",1495,"< 100 DM","> 7 years",4,1,38,"none","own",2,"unskilled",2,"no","no"
"71","unknown",36,"good","car",8133,"< 100 DM","1 - 4 years",1,2,30,"bank","own",1,"skilled",1,"no","no"
"497","1 - 200 DM",36,"good","furniture/appliances",9034,"100 - 500 DM","< 1 year",4,1,29,"none","rent",1,"management",1,"yes","yes"
"596","1 - 200 DM",6,"very good","car",931,"100 - 500 DM","< 1 year",1,1,32,"store","own",1,"unskilled",1,"no","yes"
"488","unknown",24,"good","car",3757,"< 100 DM","> 7 years",4,4,62,"none","other",1,"skilled",1,"yes","no"
"37","unknown",48,"critical","education",6110,"< 100 DM","1 - 4 years",1,3,31,"bank","other",1,"skilled",1,"yes","no"
"505","< 0 DM",24,"good","car",1207,"< 100 DM","< 1 year",4,4,24,"none","rent",1,"skilled",1,"no","yes"
"345","> 200 DM",10,"good","car",3949,"< 100 DM","< 1 year",1,1,37,"none","own",1,"unskilled",2,"no","no"
"888","1 - 200 DM",48,"good","business",15672,"< 100 DM","1 - 4 years",2,2,23,"none","own",1,"skilled",1,"yes","yes"
"238","1 - 200 DM",21,"good","business",2767,"100 - 500 DM","> 7 years",4,2,61,"bank","rent",2,"unskilled",1,"no","yes"
"192","1 - 200 DM",48,"perfect","business",3844,"100 - 500 DM","4 - 7 years",4,4,34,"none","other",1,"unskilled",2,"no","yes"
"793","unknown",6,"critical","furniture/appliances",1221,"unknown","1 - 4 years",1,2,27,"none","own",2,"skilled",1,"no","no"
"998","unknown",12,"good","furniture/appliances",804,"< 100 DM","> 7 years",4,4,38,"none","own",1,"skilled",1,"no","no"
"931","< 0 DM",24,"good","furniture/appliances",1747,"< 100 DM","< 1 year",4,1,24,"none","own",1,"unskilled",1,"no","no"
"572","unknown",30,"critical","furniture/appliances",5954,"< 100 DM","4 - 7 years",3,2,38,"none","own",1,"skilled",1,"no","no"
"187","1 - 200 DM",9,"very good","car",5129,"< 100 DM","> 7 years",2,4,74,"bank","other",1,"management",2,"yes","yes"
"19","1 - 200 DM",24,"good","car",12579,"< 100 DM","> 7 years",4,2,44,"none","other",1,"management",1,"yes","yes"
"730","> 200 DM",24,"critical","business",1275,"> 1000 DM","1 - 4 years",2,4,36,"none","own",2,"skilled",1,"yes","no"
"251","< 0 DM",6,"critical","car",666,"> 1000 DM","4 - 7 years",3,4,39,"none","own",2,"unskilled",1,"yes","no"
"152","unknown",10,"good","furniture/appliances",1924,"< 100 DM","1 - 4 years",1,4,38,"none","own",1,"skilled",1,"yes","no"
"156","< 0 DM",12,"good","furniture/appliances",1282,"< 100 DM","1 - 4 years",2,4,20,"none","rent",1,"skilled",1,"no","yes"
"445","1 - 200 DM",48,"critical","furniture/appliances",5096,"< 100 DM","1 - 4 years",2,3,30,"none","own",1,"management",1,"yes","yes"
"647","< 0 DM",30,"perfect","furniture/appliances",4583,"< 100 DM","1 - 4 years",2,2,32,"none","own",2,"skilled",1,"no","no"
"538","1 - 200 DM",18,"critical","furniture/appliances",3612,"< 100 DM","> 7 years",3,4,37,"none","own",1,"skilled",1,"yes","no"
"470","unknown",24,"poor","car",4679,"< 100 DM","4 - 7 years",3,3,35,"none","own",2,"unskilled",1,"yes","no"
"971","1 - 200 DM",15,"good","renovations",1514,"100 - 500 DM","1 - 4 years",4,2,22,"none","own",1,"skilled",1,"no","no"
"756","< 0 DM",24,"good","car",1285,"unknown","4 - 7 years",4,4,32,"none","rent",1,"skilled",1,"no","yes"
"226","unknown",36,"perfect","renovations",2613,"< 100 DM","1 - 4 years",4,2,27,"none","own",2,"skilled",1,"no","no"
"489","unknown",10,"good","car",1418,"100 - 500 DM","1 - 4 years",3,2,35,"none","rent",1,"unskilled",1,"no","no"
"671","unknown",24,"critical","business",4139,"100 - 500 DM","1 - 4 years",3,3,27,"none","own",2,"unskilled",1,"yes","no"
"28","> 200 DM",12,"very good","furniture/appliances",409,"> 1000 DM","1 - 4 years",3,3,42,"none","rent",2,"skilled",1,"no","no"
"310","1 - 200 DM",9,"good","car",276,"< 100 DM","1 - 4 years",4,4,22,"none","rent",1,"unskilled",1,"no","no"
"56","unknown",6,"very good","car",783,"unknown","1 - 4 years",1,2,26,"store","own",1,"unskilled",2,"no","no"
"332","unknown",18,"critical","education",1864,"100 - 500 DM","1 - 4 years",4,2,30,"none","own",2,"skilled",1,"no","yes"
"366","unknown",12,"good","business",1542,"< 100 DM","4 - 7 years",2,4,36,"none","own",1,"skilled",1,"yes","no"
"820","< 0 DM",18,"good","furniture/appliances",1345,"< 100 DM","1 - 4 years",4,3,26,"bank","own",1,"skilled",1,"no","yes"
"796","unknown",9,"good","furniture/appliances",2301,"100 - 500 DM","< 1 year",2,4,22,"none","rent",1,"skilled",1,"no","no"
"880","unknown",30,"critical","furniture/appliances",6742,"unknown","4 - 7 years",2,3,36,"none","own",2,"skilled",1,"no","no"
"919","< 0 DM",24,"good","furniture/appliances",2359,"100 - 500 DM","unemployed",1,1,33,"none","own",1,"skilled",1,"no","yes"
"619","1 - 200 DM",30,"good","furniture/appliances",3441,"100 - 500 DM","1 - 4 years",2,4,21,"none","rent",1,"skilled",1,"no","yes"
"380","unknown",6,"critical","car",362,"100 - 500 DM","1 - 4 years",4,4,52,"none","own",2,"unskilled",1,"no","no"
"957","> 200 DM",30,"critical","furniture/appliances",3656,"unknown","> 7 years",4,4,49,"store","own",2,"unskilled",1,"no","no"
"972","unknown",24,"good","car",7393,"< 100 DM","1 - 4 years",1,4,43,"none","own",1,"unskilled",2,"no","no"
"163","unknown",15,"good","furniture/appliances",1262,"500 - 1000 DM","4 - 7 years",4,3,36,"none","own",2,"skilled",1,"yes","no"
"469","unknown",33,"poor","business",2764,"< 100 DM","1 - 4 years",2,2,26,"none","own",2,"skilled",1,"yes","no"
"623","unknown",48,"good","business",3914,"unknown","1 - 4 years",4,2,38,"bank","own",1,"skilled",1,"no","yes"
"809","1 - 200 DM",42,"very good","car",9283,"< 100 DM","unemployed",1,2,55,"bank","other",1,"management",1,"yes","no"
"230","< 0 DM",24,"good","furniture/appliances",3149,"< 100 DM","< 1 year",4,1,22,"bank","other",1,"skilled",1,"no","no"
"700","> 200 DM",15,"good","education",1905,"< 100 DM","> 7 years",4,4,40,"none","rent",1,"management",1,"yes","no"
"542","unknown",24,"poor","car",2032,"< 100 DM","> 7 years",4,4,60,"none","other",2,"skilled",1,"yes","no"
"618","< 0 DM",6,"critical","car",3676,"< 100 DM","1 - 4 years",1,3,37,"none","rent",3,"skilled",2,"no","no"
"95","1 - 200 DM",12,"good","car",1318,"> 1000 DM","> 7 years",4,4,54,"none","own",1,"skilled",1,"yes","no"
"294","> 200 DM",42,"critical","car",4796,"< 100 DM","> 7 years",4,4,56,"none","other",1,"skilled",1,"no","no"
"285","1 - 200 DM",24,"critical","car",3878,"100 - 500 DM","< 1 year",4,2,37,"none","own",1,"skilled",1,"yes","no"
"496","< 0 DM",24,"good","furniture/appliances",2996,"unknown","1 - 4 years",2,4,20,"none","own",1,"skilled",1,"no","yes"
"178","< 0 DM",6,"critical","furniture/appliances",338,"500 - 1000 DM","> 7 years",4,4,52,"none","own",2,"skilled",1,"no","no"
"193","1 - 200 DM",27,"good","business",3915,"< 100 DM","1 - 4 years",4,2,36,"none","own",1,"skilled",2,"yes","yes"
"554","1 - 200 DM",12,"critical","car",1995,"100 - 500 DM","< 1 year",4,1,27,"none","own",1,"skilled",1,"no","no"
"308","< 0 DM",12,"good","furniture/appliances",727,"100 - 500 DM","< 1 year",4,3,33,"none","own",1,"unskilled",1,"yes","yes"
"748","< 0 DM",12,"good","car",1274,"< 100 DM","< 1 year",3,1,37,"none","own",1,"unskilled",1,"no","yes"
"829","< 0 DM",36,"good","car",8335,"unknown","> 7 years",3,4,47,"none","other",1,"skilled",1,"no","yes"
"773","unknown",21,"critical","car",3275,"< 100 DM","> 7 years",1,4,36,"none","own",1,"management",1,"yes","no"
"41","unknown",30,"good","furniture/appliances",2333,"500 - 1000 DM","> 7 years",4,2,30,"bank","own",1,"management",1,"no","no"
"668","unknown",48,"very good","business",3609,"< 100 DM","1 - 4 years",1,1,27,"store","own",1,"skilled",1,"no","no"
"200","1 - 200 DM",18,"poor","furniture/appliances",4297,"< 100 DM","> 7 years",4,3,40,"none","own",1,"management",1,"yes","yes"
"994","< 0 DM",36,"good","furniture/appliances",3959,"< 100 DM","unemployed",4,3,30,"none","own",1,"management",1,"yes","no"
"245","unknown",12,"very good","education",3447,"500 - 1000 DM","1 - 4 years",4,3,35,"none","own",1,"unskilled",2,"no","no"
"617","1 - 200 DM",60,"poor","furniture/appliances",9157,"unknown","1 - 4 years",2,2,27,"none","other",1,"management",1,"no","no"
"745","< 0 DM",39,"critical","furniture/appliances",14179,"unknown","4 - 7 years",4,4,30,"none","own",2,"management",1,"yes","no"
"92","< 0 DM",12,"critical","car",1409,"< 100 DM","> 7 years",4,3,54,"none","own",1,"skilled",1,"no","no"
"474","unknown",6,"good","education",1238,"unknown","unemployed",4,4,36,"none","own",1,"management",2,"yes","no"
"558","unknown",21,"perfect","car",5003,"unknown","1 - 4 years",1,4,29,"bank","own",2,"skilled",1,"yes","yes"
"202","< 0 DM",12,"good","car",1168,"< 100 DM","1 - 4 years",4,3,27,"none","own",1,"unskilled",1,"no","no"
"66","unknown",27,"good","renovations",5190,"unknown","> 7 years",4,4,48,"none","own",4,"skilled",2,"yes","no"
"792","unknown",24,"good","car",6313,"unknown","> 7 years",3,4,41,"none","own",1,"management",2,"yes","no"
"127","< 0 DM",12,"good","furniture/appliances",701,"< 100 DM","1 - 4 years",4,2,40,"none","own",1,"unskilled",1,"no","no"
"704","1 - 200 DM",30,"poor","business",2503,"100 - 500 DM","> 7 years",4,2,41,"store","own",2,"skilled",1,"no","no"
"986","< 0 DM",15,"critical","furniture/appliances",1433,"< 100 DM","1 - 4 years",4,3,25,"none","rent",2,"skilled",1,"no","no"
"523","< 0 DM",48,"perfect","furniture/appliances",7119,"< 100 DM","1 - 4 years",3,4,53,"none","other",2,"skilled",2,"no","yes"
"59","> 200 DM",18,"good","car",1961,"< 100 DM","> 7 years",3,2,23,"none","own",1,"management",1,"no","no"
"770","unknown",12,"critical","furniture/appliances",1655,"< 100 DM","> 7 years",2,4,63,"none","own",2,"unskilled",1,"yes","no"
"872","> 200 DM",6,"critical","car",1343,"< 100 DM","> 7 years",1,4,46,"none","own",2,"skilled",2,"no","no"
"168","1 - 200 DM",11,"good","furniture/appliances",1577,"> 1000 DM","< 1 year",4,1,20,"none","own",1,"skilled",1,"no","no"
"852","unknown",24,"critical","car",4042,"unknown","4 - 7 years",3,4,43,"none","own",2,"skilled",1,"yes","no"
"134","unknown",18,"good","furniture/appliances",1984,"< 100 DM","1 - 4 years",4,4,47,"bank","other",2,"skilled",1,"no","no"
"283","> 200 DM",18,"very good","furniture/appliances",1445,"unknown","4 - 7 years",4,4,49,"bank","own",1,"unskilled",1,"no","no"
"153","> 200 DM",36,"good","furniture/appliances",5848,"< 100 DM","1 - 4 years",4,1,24,"none","own",1,"skilled",1,"no","no"
"124","> 200 DM",10,"critical","car",781,"< 100 DM","> 7 years",4,4,63,"none","other",2,"skilled",1,"yes","no"
"865","unknown",10,"good","furniture/appliances",2210,"< 100 DM","1 - 4 years",2,2,25,"bank","rent",1,"unskilled",1,"no","yes"
"789","1 - 200 DM",48,"poor","education",6224,"< 100 DM","> 7 years",4,4,50,"none","other",1,"skilled",1,"no","yes"
"87","1 - 200 DM",18,"critical","furniture/appliances",1295,"< 100 DM","< 1 year",4,1,27,"none","own",2,"skilled",1,"no","no"
"608","1 - 200 DM",36,"good","furniture/appliances",2671,"100 - 500 DM","1 - 4 years",4,4,50,"none","other",1,"skilled",1,"no","yes"
"944","unknown",4,"critical","car",1455,"< 100 DM","4 - 7 years",2,1,42,"none","own",3,"unskilled",2,"no","no"
"906","< 0 DM",12,"good","furniture/appliances",1107,"< 100 DM","1 - 4 years",2,2,20,"none","rent",1,"management",2,"yes","no"
"838","unknown",4,"good","furniture/appliances",601,"< 100 DM","< 1 year",1,3,23,"none","rent",1,"unskilled",2,"no","no"
"638","unknown",60,"poor","furniture/appliances",15653,"< 100 DM","4 - 7 years",2,4,21,"none","own",2,"skilled",1,"yes","no"
"217","< 0 DM",18,"perfect","business",3104,"< 100 DM","4 - 7 years",3,1,31,"bank","own",1,"skilled",1,"yes","no"
"637","unknown",24,"good","furniture/appliances",1376,"500 - 1000 DM","4 - 7 years",4,1,28,"none","own",1,"skilled",1,"no","no"
"819","< 0 DM",36,"good","car0",15857,"< 100 DM","unemployed",2,3,43,"none","own",1,"management",1,"no","no"
"860","unknown",9,"good","car",3577,"100 - 500 DM","1 - 4 years",1,2,26,"none","rent",1,"skilled",2,"no","no"
"491","unknown",12,"critical","furniture/appliances",1934,"< 100 DM","> 7 years",2,2,26,"none","own",2,"skilled",1,"no","no"
"468","unknown",48,"poor","furniture/appliances",7238,"unknown","> 7 years",3,3,32,"bank","own",2,"skilled",2,"no","no"
"632","< 0 DM",18,"very good","furniture/appliances",1553,"< 100 DM","1 - 4 years",4,3,44,"bank","own",1,"skilled",1,"no","yes"
"881","unknown",24,"good","car",7814,"< 100 DM","4 - 7 years",3,3,38,"none","own",1,"management",1,"yes","no"
"586","< 0 DM",18,"good","furniture/appliances",2039,"< 100 DM","1 - 4 years",1,4,20,"bank","rent",1,"skilled",1,"no","yes"
"816","1 - 200 DM",36,"poor","car",7432,"< 100 DM","1 - 4 years",2,2,54,"none","rent",1,"skilled",1,"no","no"
"373","unknown",10,"critical","furniture/appliances",2146,"< 100 DM","< 1 year",1,3,23,"none","rent",2,"skilled",1,"no","no"
"952","< 0 DM",36,"poor","business",2145,"< 100 DM","4 - 7 years",2,1,24,"none","own",2,"skilled",1,"yes","yes"
"197","unknown",6,"critical","furniture/appliances",1382,"< 100 DM","1 - 4 years",1,1,28,"none","own",2,"skilled",1,"yes","no"
"387","unknown",18,"good","furniture/appliances",1126,"unknown","< 1 year",4,2,21,"none","rent",1,"skilled",1,"yes","no"
"290","< 0 DM",24,"poor","furniture/appliances",1024,"< 100 DM","< 1 year",4,4,48,"store","own",1,"skilled",1,"no","yes"
"278","< 0 DM",12,"good","furniture/appliances",1262,"unknown","> 7 years",2,4,49,"none","own",1,"unskilled",1,"yes","no"
"105","unknown",12,"good","car",2445,"unknown","< 1 year",2,4,26,"none","rent",1,"skilled",1,"yes","no"
"347","1 - 200 DM",13,"critical","furniture/appliances",882,"< 100 DM","< 1 year",4,4,23,"none","own",2,"skilled",1,"no","no"
"822","> 200 DM",12,"good","furniture/appliances",3016,"< 100 DM","1 - 4 years",3,1,24,"none","own",1,"skilled",1,"no","no"
"431","unknown",5,"good","business",3448,"< 100 DM","4 - 7 years",1,4,74,"none","own",1,"unskilled",1,"no","no"
"511","< 0 DM",12,"good","car",759,"< 100 DM","4 - 7 years",4,2,26,"none","own",1,"skilled",1,"no","yes"
"714","< 0 DM",9,"critical","furniture/appliances",1138,"< 100 DM","1 - 4 years",4,4,25,"none","own",2,"unskilled",1,"no","no"
"553","< 0 DM",48,"good","furniture/appliances",6999,"< 100 DM","4 - 7 years",1,1,34,"none","own",2,"skilled",1,"yes","yes"
"588","< 0 DM",12,"good","furniture/appliances",1289,"< 100 DM","1 - 4 years",4,1,21,"none","own",1,"unskilled",1,"no","no"
"148","unknown",12,"critical","car",682,"100 - 500 DM","4 - 7 years",4,3,51,"none","own",2,"skilled",1,"yes","no"
"64","1 - 200 DM",48,"perfect","business",14421,"< 100 DM","1 - 4 years",2,2,25,"none","own",1,"skilled",1,"yes","yes"
"980","1 - 200 DM",15,"very good","car",1264,"100 - 500 DM","1 - 4 years",2,2,25,"none","rent",1,"skilled",1,"no","yes"
"44","< 0 DM",30,"critical","car",6187,"100 - 500 DM","4 - 7 years",1,4,24,"none","rent",2,"skilled",1,"no","no"
"933","unknown",9,"critical","car",1224,"< 100 DM","1 - 4 years",3,1,30,"none","own",2,"skilled",1,"no","no"
"657","1 - 200 DM",12,"good","car",888,"< 100 DM","> 7 years",4,4,41,"bank","own",1,"unskilled",2,"no","yes"
"362","> 200 DM",12,"good","furniture/appliances",3399,"unknown","> 7 years",2,3,37,"none","own",1,"management",1,"no","no"
"450","1 - 200 DM",15,"poor","renovations",1512,"> 1000 DM","1 - 4 years",3,3,61,"store","own",2,"skilled",1,"no","yes"
"995","unknown",12,"good","car",2390,"unknown","> 7 years",4,3,50,"none","own",1,"skilled",1,"yes","no"
"814","< 0 DM",48,"good","furniture/appliances",3051,"< 100 DM","1 - 4 years",3,4,54,"none","own",1,"skilled",1,"no","yes"
"574","< 0 DM",15,"good","business",806,"< 100 DM","1 - 4 years",4,4,22,"none","own",1,"unskilled",1,"no","no"
"179","unknown",12,"good","furniture/appliances",1963,"< 100 DM","4 - 7 years",4,2,31,"none","rent",2,"management",2,"yes","no"
"429","unknown",9,"good","furniture/appliances",1313,"< 100 DM","> 7 years",1,4,20,"none","own",1,"skilled",1,"no","no"
"529","< 0 DM",36,"good","furniture/appliances",2302,"< 100 DM","1 - 4 years",4,4,31,"none","rent",1,"skilled",1,"no","yes"
"676","unknown",30,"critical","furniture/appliances",4530,"< 100 DM","4 - 7 years",4,4,26,"none","rent",1,"management",1,"yes","no"
"119","< 0 DM",33,"critical","furniture/appliances",4281,"500 - 1000 DM","1 - 4 years",1,4,23,"none","own",2,"skilled",1,"no","yes"
"533","unknown",12,"poor","car",1503,"< 100 DM","1 - 4 years",4,4,41,"none","rent",1,"skilled",1,"no","no"
"605","> 200 DM",10,"good","furniture/appliances",1275,"< 100 DM","< 1 year",4,2,23,"none","own",1,"skilled",1,"no","no"
"857","unknown",10,"good","education",894,"unknown","4 - 7 years",4,3,40,"none","own",1,"skilled",1,"yes","no"
"209","< 0 DM",24,"good","business",6568,"< 100 DM","1 - 4 years",2,2,21,"store","own",1,"unskilled",1,"no","no"
"701","unknown",12,"good","furniture/appliances",1123,"500 - 1000 DM","1 - 4 years",4,4,29,"none","rent",1,"unskilled",1,"no","yes"
"564","1 - 200 DM",36,"good","car",12389,"unknown","1 - 4 years",1,4,37,"none","other",1,"skilled",1,"yes","yes"
"530","< 0 DM",6,"good","car",662,"< 100 DM","< 1 year",3,4,41,"none","own",1,"unskilled",2,"yes","no"
"812","1 - 200 DM",6,"good","furniture/appliances",484,"< 100 DM","4 - 7 years",3,3,28,"bank","own",1,"unskilled",1,"no","no"
"326","< 0 DM",8,"critical","car",3398,"< 100 DM","4 - 7 years",1,4,39,"none","own",2,"unskilled",1,"no","no"
